1,1,"Color: Aqua, Material: fund, Warranty: 2 years"
2,2,"Color: PeachPuff, Material: system, Warranty: 2 years"
3,3,"Color: MediumSpringGreen, Material: lot, Warranty: 2 years"
4,4,"Color: Khaki, Material: fall, Warranty: 2 years"
5,5,"Color: LightCyan, Material: level, Warranty: 2 years"
6,6,"Color: AliceBlue, Material: focus, Warranty: 2 years"
7,7,"Color: AliceBlue, Material: one, Warranty: 2 years"
8,8,"Color: DeepPink, Material: pay, Warranty: 2 years"
9,9,"Color: DeepSkyBlue, Material: official, Warranty: 2 years"
10,10,"Color: Aqua, Material: training, Warranty: 2 years"
11,11,"Color: MediumSpringGreen, Material: game, Warranty: 2 years"
12,12,"Color: MediumAquaMarine, Material: coach, Warranty: 2 years"
13,13,"Color: Olive, Material: store, Warranty: 2 years"
14,14,"Color: PaleGreen, Material: upon, Warranty: 2 years"
15,15,"Color: DarkMagenta, Material: central, Warranty: 2 years"
16,16,"Color: GoldenRod, Material: statement, Warranty: 2 years"
17,17,"Color: PaleGoldenRod, Material: win, Warranty: 2 years"
18,18,"Color: LightSeaGreen, Material: bank, Warranty: 2 years"
19,19,"Color: Beige, Material: write, Warranty: 2 years"
20,20,"Color: SeaGreen, Material: teacher, Warranty: 2 years"
21,21,"Color: DarkSalmon, Material: stop, Warranty: 2 years"
22,22,"Color: MediumOrchid, Material: set, Warranty: 2 years"
23,23,"Color: LightBlue, Material: no, Warranty: 2 years"
24,24,"Color: Snow, Material: house, Warranty: 2 years"
25,25,"Color: Navy, Material: police, Warranty: 2 years"
26,26,"Color: DarkOrchid, Material: true, Warranty: 2 years"
27,27,"Color: WhiteSmoke, Material: hour, Warranty: 2 years"
28,28,"Color: NavajoWhite, Material: past, Warranty: 2 years"
29,29,"Color: Crimson, Material: future, Warranty: 2 years"
30,30,"Color: AliceBlue, Material: thousand, Warranty: 2 years"
31,31,"Color: RoyalBlue, Material: response, Warranty: 2 years"
32,32,"Color: MidnightBlue, Material: base, Warranty: 2 years"
33,33,"Color: MediumSpringGreen, Material: character, Warranty: 2 years"
34,34,"Color: SpringGreen, Material: production, Warranty: 2 years"
35,35,"Color: Cyan, Material: understand, Warranty: 2 years"
36,36,"Color: OrangeRed, Material: understand, Warranty: 2 years"
37,37,"Color: PaleGreen, Material: side, Warranty: 2 years"
38,38,"Color: Cyan, Material: paper, Warranty: 2 years"
39,39,"Color: SeaShell, Material: statement, Warranty: 2 years"
40,40,"Color: AliceBlue, Material: yourself, Warranty: 2 years"
41,41,"Color: SeaShell, Material: perform, Warranty: 2 years"
42,42,"Color: LightGray, Material: onto, Warranty: 2 years"
43,43,"Color: Beige, Material: continue, Warranty: 2 years"
44,44,"Color: MintCream, Material: hit, Warranty: 2 years"
45,45,"Color: Maroon, Material: dark, Warranty: 2 years"
46,46,"Color: Snow, Material: capital, Warranty: 2 years"
47,47,"Color: Purple, Material: how, Warranty: 2 years"
48,48,"Color: DarkSalmon, Material: thank, Warranty: 2 years"
49,49,"Color: GreenYellow, Material: knowledge, Warranty: 2 years"
50,50,"Color: Khaki, Material: early, Warranty: 2 years"
51,51,"Color: DarkBlue, Material: movement, Warranty: 2 years"
52,52,"Color: DodgerBlue, Material: letter, Warranty: 2 years"
53,53,"Color: LightSkyBlue, Material: newspaper, Warranty: 2 years"
54,54,"Color: SlateBlue, Material: kind, Warranty: 2 years"
55,55,"Color: PeachPuff, Material: your, Warranty: 2 years"
56,56,"Color: DarkTurquoise, Material: purpose, Warranty: 2 years"
57,57,"Color: PeachPuff, Material: one, Warranty: 2 years"
58,58,"Color: LightSkyBlue, Material: hospital, Warranty: 2 years"
59,59,"Color: Gray, Material: season, Warranty: 2 years"
60,60,"Color: White, Material: because, Warranty: 2 years"
61,61,"Color: Magenta, Material: feeling, Warranty: 2 years"
62,62,"Color: DarkGoldenRod, Material: hotel, Warranty: 2 years"
63,63,"Color: BlanchedAlmond, Material: live, Warranty: 2 years"
64,64,"Color: IndianRed, Material: determine, Warranty: 2 years"
65,65,"Color: Moccasin, Material: provide, Warranty: 2 years"
66,66,"Color: Bisque, Material: age, Warranty: 2 years"
67,67,"Color: LightCyan, Material: kind, Warranty: 2 years"
68,68,"Color: LavenderBlush, Material: individual, Warranty: 2 years"
69,69,"Color: LavenderBlush, Material: walk, Warranty: 2 years"
70,70,"Color: MediumOrchid, Material: also, Warranty: 2 years"
71,71,"Color: Gainsboro, Material: control, Warranty: 2 years"
72,72,"Color: MidnightBlue, Material: indeed, Warranty: 2 years"
73,73,"Color: SkyBlue, Material: yourself, Warranty: 2 years"
74,74,"Color: Crimson, Material: must, Warranty: 2 years"
75,75,"Color: MediumVioletRed, Material: maintain, Warranty: 2 years"
76,76,"Color: Salmon, Material: story, Warranty: 2 years"
77,77,"Color: Ivory, Material: own, Warranty: 2 years"
78,78,"Color: CadetBlue, Material: some, Warranty: 2 years"
79,79,"Color: Brown, Material: culture, Warranty: 2 years"
80,80,"Color: LightGray, Material: own, Warranty: 2 years"
81,81,"Color: LightGray, Material: within, Warranty: 2 years"
82,82,"Color: Indigo, Material: image, Warranty: 2 years"
83,83,"Color: Moccasin, Material: former, Warranty: 2 years"
84,84,"Color: WhiteSmoke, Material: coach, Warranty: 2 years"
85,85,"Color: BurlyWood, Material: hot, Warranty: 2 years"
86,86,"Color: DarkKhaki, Material: hair, Warranty: 2 years"
87,87,"Color: BlueViolet, Material: result, Warranty: 2 years"
88,88,"Color: HotPink, Material: support, Warranty: 2 years"
89,89,"Color: NavajoWhite, Material: rest, Warranty: 2 years"
90,90,"Color: Violet, Material: stand, Warranty: 2 years"
91,91,"Color: SaddleBrown, Material: grow, Warranty: 2 years"
92,92,"Color: PaleVioletRed, Material: form, Warranty: 2 years"
93,93,"Color: DarkOrange, Material: despite, Warranty: 2 years"
94,94,"Color: Maroon, Material: fact, Warranty: 2 years"
95,95,"Color: SteelBlue, Material: what, Warranty: 2 years"
96,96,"Color: Azure, Material: program, Warranty: 2 years"
97,97,"Color: DarkSlateGray, Material: behind, Warranty: 2 years"
98,98,"Color: Coral, Material: low, Warranty: 2 years"
99,99,"Color: AntiqueWhite, Material: mother, Warranty: 2 years"
100,100,"Color: MediumSlateBlue, Material: away, Warranty: 2 years"
